id;telefon;email;osoba_id
1;Saint Lucia white;Arely69@hotmail.com;2
2;Web virtual deposit;Jacky18@hotmail.com;5
3;EXE projection Fresh;Emilio27@yahoo.com;3
4;synergies copying;Ellsworth51@hotmail.com;6
5;Bedfordshire Bahamian Dollar;Eugene.Flatley32@gmail.com;3
6;Oklahoma facilitate;Wanda.Funk25@gmail.com;7
7;card Plastic;Alfredo_Gleason@hotmail.com;6
8;Small Plastic Pants Investor;Marilyne.Considine@gmail.com;5
9;Dominican Republic Credit Card Account Handmade;David_Fisher36@yahoo.com;5
10;Orchestrator deliver;Athena.Schmeler32@hotmail.com;6
